"HITID","Tweet","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"2H9YNJ92NJKMDFPXB3LH6W2GXV2C7S","Obama for me RT@marieclaireuk: The US Presidential election is tomorrow. Who are you hoping will win? Obama or Romney? Let us know.","A1KAXCLAH6UVMS","none","A2ZBYVQLDUZOV7","none","Yes","none","Sat Nov 17 15:36:37 UTC 2012"
"2SIHFL42J1LYIIPIUHD0QGFKLJUN25","RT @Obama2012: ""If you work hard. you can make it here in America. Thats what were fighting for. Thats why Im asking for your vote.""","A2ZBYVQLDUZOV7","hopeful","A53VNQRRFQ785","hopeful","Yes","hopeful","Fri Nov 16 18:24:50 UTC 2012"
"22XQ0ONNVRH1XR2K6QIBF6NVDRDMVC","RT @KeShai_Ross: Rosa Parks Sat . So Martin Luther King Jr Could Walk . So Barack Obama Could Run . So We Could All Fly .","A53VNQRRFQ785","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Sun Nov 18 15:54:33 UTC 2012"
"2S3YHVI44OS2XV8J5X5Z0BAP9HU4Y8","Polls can't capture the number of Americans voting FOR the FOUR obama left to die. alone. in Libya. due to cowardice and deceit.","A1KFIQBETMB81I","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Fri Nov 16 03:43:24 UTC 2012"
"28GNJ92NJKM0IL0UL48Y42GTTFK8DB","@mike220889 @derrenbrown granted. but it does show that in many major countries Obama has the support of a huge majority.","A2ZBYVQLDUZOV7","hopeful","A3169N2SCN3ENK","hopeful","Yes","hopeful","Mon Nov 19 04:36:05 UTC 2012"
"22X395SW6NG1S2HYQXAB6F1F3YRGU8","RT @TheAnchoress: Former Virginia Governor Douglas Wilder. a Democrat who supported obama will not endorse him http://t.co/jwMqcQxq","A29PP6NH9Z72Q2","happy","A2ZBYVQLDUZOV7","happy","Yes","happy","Fri Nov 16 14:25:46 UTC 2012"
"2EF2Q45UUKQOBQ1TOBESGOG0560CUV","RT @JACSUTT: @ZohalxShah @SophiaBush please tell me exactly what Obama has done besides pose for a picture in NJ cause were still suffe","A2ZBYVQLDUZOV7","angry","A3169N2SCN3ENK","angry","Yes","angry","Sun Nov 18 21:15:49 UTC 2012"
"2BU26DG67D1XG5EQCA3OS2JE5S08FM","@RealKevinNash I'm English and would have Obama as our prime minister anyday. The one to take America forward.","A1Y6CLBM5VJQKD","happy","A2ZBYVQLDUZOV7","happy","Yes","happy","Mon Nov 19 04:55:52 UTC 2012"
"26YSNTL0XULRTX7MBDDMLX5FTDG1N2","RT @AP: MT @APCampaign: On the final lap of an exhausting race. #Romney. #Obama narrow the field to key states: http://t.co/BpuZE8PU","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 01:41:03 UTC 2012"
"2QQJHSTLB3L0SLXKAY2JMJREZKXTHT","Most Americans living in Israel are Democratic but now voting for Romney.  Obama does not care about Israel","A182JW8U6PO60U","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Sat Nov 17 05:58:09 UTC 2012"
"2UWY5COW0LGRCDMNJPCCEVNU325X6F","Obama. Romney take long campaign journey into final day - Fox News","A2FCGEU5RTEWG8","none","A2ZBYVQLDUZOV7","none","Yes","none","Fri Nov 16 04:46:50 UTC 2012"
"2P3Z6R70G5R9LNMUV5574SSTR44P9U","Saturday was the Last Day for early option in FL. wherever polls showed Democratic President Barack Obama and Re... http://t.co/aqBQAy3k","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Sun Nov 18 23:41:39 UTC 2012"
"248YN5F3Q0JGI3CXFMNYJ49FDYLFBS","President Obama. the last time that I checked. Staten Island and Long Island are still part of the United States.","A26L95RMC7I9TB","mocking","A2ZBYVQLDUZOV7","mocking","Yes","mocking","Sat Nov 17 05:08:45 UTC 2012"
"22GHVI44OS2KY4MOFOQSJAP5F7SZ5Y","US election: last day of campaigning live: Latest updates as Barack Obama and Mitt Romney embark on a frenzied l... http://t.co/H0P9Dy5c","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 01:40:57 UTC 2012"
"2CPWGKCCVLL3PKHEER1PY4C9RWNV5V","RT @keder: The definition of insanity is witnessing the failure that is Obama first hand. and then voting for him again expecting differ","A26L95RMC7I9TB","mocking","A2ZBYVQLDUZOV7","mocking","Yes","mocking","Sat Nov 17 05:12:28 UTC 2012"
"2C2CJ011K274WHNVI6X1GN46Y38CAJ","In Campaign's Closing Days. Obama Lays Claim to the Mantle of Change http://t.co/7pCfeOzB","A2ZBYVQLDUZOV7","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Sun Nov 18 15:40:35 UTC 2012"
"26YSNTL0XULRTX7MBDDMLX5FTDGN1O","RT @SnoozeInBrief: Obama doesn't represent the future. he represents the past. Under him. the amount of past has risen to an all-time high.","A182JW8U6PO60U","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Mon Nov 19 14:50:49 UTC 2012"
"23T3Q39Z0B6U6YK4WOMS1VRKKVOWLT","Obama. Romney takes long campaign journey into the final day. http://t.co/NhDbz68w","A1BQBQG2GNY8AY","none","A2ZBYVQLDUZOV7","none","Yes","none","Fri Nov 16 08:37:45 UTC 2012"
"29BMOFXRDS4IPBS95XOJNM11E8ATWT","@obama @potus your Katrina #sandy was the bullet that will do you in. Your no show in #liberal states while people suffer.","A26L95RMC7I9TB","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Sat Nov 17 05:10:55 UTC 2012"
"2A3B3L0FBJ9I1LXPB15VM5RPV8FMYL","When is the deadline fing for Obama and that other man? Like when will everyone find out who won?","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:23:14 UTC 2012"
"23WGOOGQSCM6VKODKO9U2U00SWDFFA","Obama and Romney in closing pitches as legal disputes begin http://t.co/0jILYxeo","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 12:15:57 UTC 2012"
"2FK4E6AUBXHW5RLQDJ0VJZWDVRPX1H","Bin Laden raid movie criticised as pro-Obama: A film that dramatises the raid on Osama Bin Laden's hideaway by U... http://t.co/Wion6RMc","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 02:57:35 UTC 2012"
"218W618N46UXSMRFX73E1NDSRZCOQY","Bin Laden raid movie criticised as pro-Obama: A film that dramatises the raid on Osama Bin Laden's hideaway by U... http://t.co/Cpd9x7pb","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 20:21:26 UTC 2012"
"2CQER9Y8TNKIZ96XXU6H02OM4V8U7J","RT @khalifallah: ""Dear FATHER JESUS: we pray that YOU will continue to reveal to every voter the truth about Obama's lack of love for th","A26L95RMC7I9TB","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Fri Nov 16 06:46:43 UTC 2012"
"2H1G5TYMNCWYOENQ12JSPX11NUFJNN","NATE SILVER: Obama's Odds Of Winning Have Now Hit An Overwhelming 86% by @hblodget http://t.co/t9p7RAvt","A2ZBYVQLDUZOV7","happy","ATBZC1F0M7F2F","happy","Yes","happy","Sun Nov 18 15:49:17 UTC 2012"
"25YQSCM6IAA25OW5M4R0WQKKEAAJJJ","Obama. Romney take long campaign journey into final day http://t.co/YHFvSLUj","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 16:35:26 UTC 2012"
"2CZVKCJ011K2KEXI1UHWE18N8CN8A9","RT @MsNatTurner: The United States of America will be the laughing stock to other countries if Mitt Romney is elected. They are watching","A29PP6NH9Z72Q2","mocking","A2ZBYVQLDUZOV7","mocking","Yes","mocking","Fri Nov 16 13:57:03 UTC 2012"
"23H9O9Z6KW4ZZKDS91ILNQ0ORTOD49","RT @BarackObama: FACT: President Obama has signed 18 tax cuts that are helping small businesses grow and create jobs. #progress","A2ZBYVQLDUZOV7","happy","ATBZC1F0M7F2F","happy","Yes","happy","Sun Nov 18 16:07:03 UTC 2012"
"2JV21O3W5XH0WZ33ACBYMPLSTDYHBS","RT @seanagnew: That doesn't happen when your internals look good MT @markknoller: It was 3:15AM/CT when Pres Obama arrived at his hotel","A1Y6CLBM5VJQKD","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 18:00:43 UTC 2012"
"26LTVOK5UFJ5E8L16YQF6QS1GYM853","RT @mattklewis: ""Jonathan Alter confronted us on the street and became apoplectic. literally yelling &amp; shaking and drawing a crowd..","A182JW8U6PO60U","none","A2ZBYVQLDUZOV7","none","Yes","none","Mon Nov 19 14:51:48 UTC 2012"
"261WKUDD8XMBG0HKRA262TO6XA7NCE","Michelle Obama's Best Fashion Moments As First Lady - Forbes: Michelle Obama's Best Fashion Moments As First Lad... http://t.co/LtumLLVK","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 17:05:43 UTC 2012"
"2F55F3Q0JG5TBW1NO824HF9SWYAHDZ","@cspanwj #Benghazi101 - The Obama administration said that Obama was not directly involved  LIE","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 07:11:33 UTC 2012"
"20I11K274J79X0AHTIE4EUXFGJXFDZ","#WhyImNotVotingForObama Because if Obama's mouth is moving. he is lying","A182JW8U6PO60U","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Fri Nov 16 22:34:32 UTC 2012"
"270HPCGJ2D211DAGPRRJXPSI6QR4AY","Mormonism. like any other religion or cult. is shit. Why Dawkins singles this out as opposed to say Obama's Islam is not quite clear.","A26L95RMC7I9TB","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Sat Nov 17 07:07:01 UTC 2012"
"2BR8JHSTLB3LDPPU1SFBREJRI16GSS","Students at Romney's almas mega-important. Obama stinks at the job and he's a nasty guy to boot. Send him to the sidekick job on Lett","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 17:15:52 UTC 2012"
"2X2PEIB9BAWL5WB0IFMX2D3MXXK1YS","Also I think the Barack Obama administration supported FEMA. Is doing a horrible job. And I'm ashamed that Obama is campaigning as a hero.","A1Y6CLBM5VJQKD","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Mon Nov 19 14:38:21 UTC 2012"
"2PW4BLYHVI4412GVD4ZDVEZSFGI1VJ","In Campaign's Closing Days. Obama Lays Claim to the Mantle of Change - New York Times (blog): New York Times (bl... http://t.co/CDOXMYoR","A1BHMDRWW9ZYSO","none","A29PP6NH9Z72Q2","none","Yes","none","Fri Nov 16 14:00:00 UTC 2012"
"2Z5MHGYQ4J3NNLKM7W6FWYYIX7MANZ","New Obama policy: LGBT immigrants cannot be deported if in homosexual relationship: Its official now.","A1Y6CLBM5VJQKD","mocking","A2ZBYVQLDUZOV7","mocking","Yes","mocking","Mon Nov 19 12:26:51 UTC 2012"
"2F8S1CSTMOFX4N6FAMSE6DNXNLERO2","RT @CNNMoney: President Obama and challenger Mitt Romney have vastly different ideas on helping the poor. http://t.co/7IZzkrEH #election2012","A2ZBYVQLDUZOV7","none","ATBZC1F0M7F2F","none","Yes","none","Sun Nov 18 23:56:35 UTC 2012"
"2UQXMB3Q39Z0OG84GGK4MVSTZXCTIM","CORRECT: REY WALKER IS THE PERSON GAVE ORDERS FOR BOMB INSIDE THE CAR AT THE HOUSE. NOT JUST 1. WORKING WITH OBAMA HITLER.  CARLOS ROBLES","A2ZBYVQLDUZOV7","angry","ATBZC1F0M7F2F","angry","Yes","angry","Sun Nov 18 15:39:40 UTC 2012"
"2YDWAVKI62NJ3CFIU909YH6BOR4JRB","In Case You Missed It: Chris Rock Calls Obama The White President You Can Trust http://t.co/2Bc1EraV","A2ZBYVQLDUZOV7","funny","ATBZC1F0M7F2F","funny","Yes","funny","Sun Nov 18 15:46:58 UTC 2012"
"2G4AZHHRRLFQDY1YN181SHO9IMKNE7","2654Linda McMahon says she still backs Romney--she's just tying herself to Obama in minority neighborhoods. #sleazy http://t.c","A182JW8U6PO60U","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Fri Nov 16 22:25:32 UTC 2012"
"25DR14IXKO2LMCVP461653YOGI8ABA","voting for Obama because of the color of his skin is a form of IGNORANCE and RACISM!!!""","A2ZBYVQLDUZOV7","angry","ATBZC1F0M7F2F","angry","Yes","angry","Sun Nov 18 15:42:06 UTC 2012"
"2UJX3V0FK0COXCXPTWYPSK9LV2ZNGO","Every American celebrity that I follow has tweeted at least once supporting Obama","A182JW8U6PO60U","happy","A2ZBYVQLDUZOV7","happy","Yes","happy","Sat Nov 17 07:36:41 UTC 2012"
"2LOUXFCD45XCR31OKXKKQN3TKVXXV7","RT @JoeCienkowski: More filthy lies! Obama lied at debate about Stafford Act during Katrina. BUT he also voted against act aid to NOLA.","A2ZBYVQLDUZOV7","angry","A3169N2SCN3ENK","angry","Yes","angry","Sat Nov 17 22:48:59 UTC 2012"
"2LTLYHVI44OSFUZ50NEE7SBATB3X39","I'm voting for revenge for 4 men Obama left to die.","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 01:37:19 UTC 2012"
"25LW5XH0JPPSVCY96ZCSX75KPSZFLF","RT @rushlimbaugh: Spread the word.  The media can't find these sound bites of Obama condemning and blaming America for imposing freedom.","A2ZBYVQLDUZOV7","angry","A3169N2SCN3ENK","angry","Yes","angry","Sun Nov 18 04:39:39 UTC 2012"
"2G1MJUNU8LZ64HERX108L8J3ZK0I2K","RICHARD KOO: Barack #Obamas Policies Were The Correct Response To The Recession http://t.co/4DQWzzLX @USRadioNews","A29PP6NH9Z72Q2","happy","A2ZBYVQLDUZOV7","happy","Yes","happy","Fri Nov 16 13:59:51 UTC 2012"
"29DQ8H88MQU6YF2MNM91ZXX4EOCS9E","SANDY long GAS lines prove that Obama is all show and NO RESULTS. BIG GOV does not WORK. #gop #tcot #democrat  #latino","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 07:14:33 UTC 2012"
"24192NJKM05BZT7598N2OTP9VG0FAX","#Obama: Good news for the US and World http://t.co/U67aSIeX #BlackVote @BarackObama","A1T4HQ3SBQIS5A","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Sun Nov 18 15:53:33 UTC 2012"
"2FILWSBRI8IUOCC51IAH0TLB7RT2EV","@akilabwala Why did he have to yab Mitt Romney like that. claiming he was talking Hurricane Sandy &amp; Obama?","A2ZBYVQLDUZOV7","angry","ATBZC1F0M7F2F","angry","Yes","angry","Sun Nov 18 23:57:01 UTC 2012"
"2JS1QP6AUC26QQKI5BO330FK4IH81L","30.000 in Florida last night greeting Obama... - Democratic Underground http://t.co/g8WN6eGx","A2ZBYVQLDUZOV7","none","AL7M7T6WKQPIV","none","Yes","none","Mon Nov 19 07:13:23 UTC 2012"
"2UHXR24SMEZZFWWVEX0UGP9Y7EMI13","RT @joeserg: Obama action figure? Keep scrolling. the poses get more and more ridiculous (hilarious)! http://t.co/URz7qcFr","A2ZBYVQLDUZOV7","funny","AKBP92VUQ7G3","funny","Yes","funny","Fri Nov 16 18:20:28 UTC 2012"
"29ACXKNQY2RCWUKER553PR0KYO31QP","RT @obamawontwin1: In one day we will take our country back and Obama can quit wearing that American Flag pin he despises so much!","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Mon Nov 19 02:54:29 UTC 2012"
"2L0XKO2L92HEP6OHPDPOKCF0GVYFES","SANDY long GAS lines prove that Obama is all show and NO RESULTS. BIG GOV does not WORK. #gop #tcot #democrat","A2ZBYVQLDUZOV7","angry","ATBZC1F0M7F2F","angry","Yes","angry","Sun Nov 18 15:53:21 UTC 2012"
"2BUF806UFBNF55U5DPU9DSW6RMU1FV","@BarackObama: FACT: Since taking office. President Obama has cut taxes for the typical American family by $3.600. #progress","A2ZBYVQLDUZOV7","happy","AL7M7T6WKQPIV","happy","Yes","happy","Mon Nov 19 07:29:58 UTC 2012"
"26LTVOK5UFJ5E8L16YQF6QS1GYM580","FiveThirtyEight: State and National Polls Come Into Better Alignment: It appears that President Obama is likely http://t.co/6uJOGJGa","A182JW8U6PO60U","hopeful","A2ZBYVQLDUZOV7","hopeful","Yes","hopeful","Sat Nov 17 06:46:37 UTC 2012"
"215QY2RCJK63C5SE91RK2IAQDPE5UG","@cspanwj #Benghazi101 - The Obama administration said that they did not know what happened for more than 17 days after  LIE","A2ZBYVQLDUZOV7","angry","AL7M7T6WKQPIV","angry","Yes","angry","Sun Nov 18 23:39:58 UTC 2012"
"2BQLZ6R70G5RMIRJBDMEFWSSXTR8O8","Wall Street supports Romney because Obama sprays money at them?  Wall Street abhors money printing (except in Europe) &amp; craves US austerity?","A2ZBYVQLDUZOV7","mocking","ATBZC1F0M7F2F","mocking","Yes","mocking","Sun Nov 18 16:05:51 UTC 2012"
"28RY8TNKIMZSZFYQ92TOU0PGZLWAXJ","Where do these newspapers who have literally flipped the script get off saying President Obama hasn't fulfilled his promises? #Politics","A2ZBYVQLDUZOV7","angry","A3169N2SCN3ENK","angry","Yes","angry","Mon Nov 19 13:46:48 UTC 2012"
"27QH88MQU6L51L9NABIX54AINLZUB5","RT @DennisDMZ: Don't worry President Obama. under President Romney you'll at least be able to find a new job.","A182JW8U6PO60U","mocking","A2ZBYVQLDUZOV7","mocking","Yes","mocking","Sat Nov 17 05:57:21 UTC 2012"
"2AOYTWX4H3H22LIO1J7IEIJRFBY4ZZ","Who will be the next US president? Obama or Romney?","A2ZBYVQLDUZOV7","none","ATBZC1F0M7F2F","none","Yes","none","Sun Nov 18 23:56:11 UTC 2012"
"2PZ88MQU6L5OO5QTT1OXCAIJJD9CVK","SANDY long GAS lines prove that Obama is all show and NO RESULTS. BIG GOV does not WORK. #gop #tcot #democrat #latino #hispanic","A29PP6NH9Z72Q2","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Fri Nov 16 13:57:54 UTC 2012"
"25CQIHPCGJ2DFB2EOFOH8JPPWOV822","How can you vote for Obama: No leadership there-the last four yrs are a testament to his failures","A2ZBYVQLDUZOV7","angry","ATBZC1F0M7F2F","angry","Yes","angry","Sun Nov 18 15:40:53 UTC 2012"
"2HJ1K274J79K36KC0XV62XFCHAYGES","RT @lauriewilson999: Obama is possibly an idol of mine. Ultimate respect to my bro","A2ZBYVQLDUZOV7","happy","AL7M7T6WKQPIV","happy","Yes","happy","Mon Nov 19 05:30:21 UTC 2012"
"2Y9RLFQ0ONNV4RFV9Y0EORB7ATOSJ9","50 million babies aborted by Planned Parenthood (most black) it's their #1 money maker. #Obama PREY ON WOMEN'S FEARS - USES CANCER SCREENING","A182JW8U6PO60U","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Sat Nov 17 06:22:31 UTC 2012"
"23H9O9Z6KW4ZZKDS91ILNQ0ORTO4D0","RT @chuckwoolery: MSNBC says that if Elizabeth Warren thinks she is native American than she is. Kind of like how Obama thinks he is a l","A2ZBYVQLDUZOV7","mocking","AL7M7T6WKQPIV","mocking","Yes","mocking","Mon Nov 19 07:40:05 UTC 2012"
"2S4JTUHYW2GT2J5LZ2WWU1692YHKPK","Electoral College Map Obama Does Not Need to Win Florida or Ohio to Win the - PolicyMic http://t.co/MiQEQjdW #florida","A26L95RMC7I9TB","none","A2ZBYVQLDUZOV7","none","Yes","none","Sat Nov 17 05:12:12 UTC 2012"
"2YZRRLFQ0ONN81VCCRF9MGRBBCGIRZ","Obama. Romney launch final attempt to woo voters in battleground states - CTV News http://t.co/nwG7LG0Y","A26L95RMC7I9TB","none","A2ZBYVQLDUZOV7","none","Yes","none","Sat Nov 17 07:06:40 UTC 2012"
"2A4OFXRDS4ICEOCOF7AFU11A6OOXUI","@DefendWallSt.I guess you are talking about yourself soon to be unemployed no way OBAMA will EVER be unemployed get over it JERK!!!","A2ZBYVQLDUZOV7","angry","ATBZC1F0M7F2F","angry","Yes","angry","Sun Nov 18 15:44:54 UTC 2012"
"2X6OGQSCM6IANC6PA4LU80OQOQ3HH8","Obama. Romney make a mad dash in a final bid for votes: President Obama and GOP challenger Mitt Romney will spen... http://t.co/ZlRZXZbx","A26L95RMC7I9TB","none","A2ZBYVQLDUZOV7","none","Yes","none","Sun Nov 18 15:56:06 UTC 2012"
"2I8P6AUC26DGJHRCPDM0NK0CSQVA3J","@MsTerryMcMillan Obama got busted for treason. yet he remains president. Your point?","A26L95RMC7I9TB","mocking","A2ZBYVQLDUZOV7","mocking","Yes","mocking","Sat Nov 17 03:40:42 UTC 2012"
"2TRKSSZVXX2QHF85C0FYONIW5TLN56","Gotta vote today for sure #Obama","A182JW8U6PO60U","happy","A26L95RMC7I9TB","happy","Yes","happy","Sat Nov 17 23:55:58 UTC 2012"
"2W36VCPWZ9RNQ6WZNBJ70N3DXMMPA9","As a country. we must head in the right direction and the only person willing to take us there is President Barack Obama. #Forward","A182JW8U6PO60U","hopeful","A26L95RMC7I9TB","hopeful","Yes","hopeful","Fri Nov 16 23:42:42 UTC 2012"
"2MBYMNCWYB49SJ63KRO19JONWZYMQI","496 military leaders approve of Romney &amp; 5 approve of Obama! No wonder. we're getting our ass kicked around the world!","A26L95RMC7I9TB","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Sun Nov 18 16:43:35 UTC 2012"
"2Z5MHGYQ4J3NNLKM7W6FWYYIX7MNAC","RT @briandeal: The only thing lying more than Obama bin Lyin' are the polls. dem oversampling of 11-13%. they should consider packing bo","A26L95RMC7I9TB","angry","A2TI6FZW8DL9E8","angry","Yes","angry","Fri Nov 16 10:20:49 UTC 2012"
"2QQD8J3VE7WS53194QUMKK8AX8NZJK","RT @Carydc: Obama's silence on Israel's plight questioned by Romney http://t.co/9GSZAogu For those who watched the third and final Presi","A26L95RMC7I9TB","none","A2ZBYVQLDUZOV7","none","Yes","none","Sat Nov 17 15:36:59 UTC 2012"
"2HXK0COK2JE1ZH3VCJCR46OZEITSLB","RT @BarackObama: Stand with President Obama if you support his plan to keep us moving forward. Confirm where you vote: http://t.co/q9Olv","A26L95RMC7I9TB","hopeful","A2ZBYVQLDUZOV7","hopeful","Yes","hopeful","Sat Nov 17 15:41:36 UTC 2012"
"2Y0T3HVWAVKIJC1UICS7AZ99UNZFNH","This election is about leadership and jobs! Obama has failed on both accounts. #RomenyRyan2012","A26L95RMC7I9TB","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Sun Nov 18 17:35:23 UTC 2012"
"26VOBDDP8PJWX4RO07DBBQ39364F4M","if Obama wins then i will be happy. if he doesnt then i can't complain because i didnt give myself a chance to vote.","A26L95RMC7I9TB","hopeful","A2ZBYVQLDUZOV7","hopeful","Yes","hopeful","Sun Nov 18 17:28:33 UTC 2012"
"23K5L8I9NZW6UODHGOVQ47T8AF9KUG","@DamonBeard definitely Obama since his campaign became celebville every fan/groupie with no clue about politics will be voting for him!","A26L95RMC7I9TB","mocking","A2ZBYVQLDUZOV7","mocking","Yes","mocking","Sun Nov 18 16:38:25 UTC 2012"
"2BGT3DHJHP4BQNYRW8ZR0X9X7MWV2U","CNN Poll Shows a Romney-Obama Tie With a D+11 Sample Democrat +11 http://t.co/Uw819hgN This is disturbing and why CNN ratings are awful.","A26L95RMC7I9TB","sad","A2ZBYVQLDUZOV7","sad","Yes","sad","Sat Nov 17 15:42:24 UTC 2012"
"28RY8TNKIMZSZFYQ92TOU0PGZLVXA5","@CharlesMBlow .@FinancialTimes: ""Obama is the wiser bet for crisis-hit US. There remains a need for intelligent. reformist governance""","A26L95RMC7I9TB","hopeful","A2ZBYVQLDUZOV7","hopeful","Yes","hopeful","Sun Nov 18 15:55:13 UTC 2012"
"21UCVLL3CA33ZRO0IE39VQU713C9Z0","RT @RealRonHoward: Obama pulled us from global economic catastrophe Now US leads other nations in recovery Still so much to do Join Cher","A1BQBQG2GNY8AY","hopeful","A2ZBYVQLDUZOV7","hopeful","Yes","hopeful","Fri Nov 16 18:16:21 UTC 2012"
"2SOBFMFFOYYI6B7U7N7E0C0R12IZMO","RT @cfreelakers24: Romney's scare tactics won't work! President Obama WILL win as long as everyone gets out and vote in record numbers.","A2TI6FZW8DL9E8","hopeful","A2ZBYVQLDUZOV7","hopeful","Yes","hopeful","Sat Nov 17 03:42:39 UTC 2012"
"2KXDEY5COW0LT1DE0MIFTC6VR0SV4Q","#DearMrFaniKayode I also cant imagine you blamed Obama for the Boko Haram menace in Nigeria. I flushed my respect for you immediately mehn","A2TI6FZW8DL9E8","angry","A2ZBYVQLDUZOV7","angry","Yes","angry","Fri Nov 16 18:07:05 UTC 2012"
